Title,Video ID,Artist,Song
Eminem - Lose Yourself (Lyrics),tR1ECf4sEpw,Eminem,Lose Yourself (Lyrics)
Survivor - Eye Of The Tiger (Lyrics),_qDML_BCju8,Survivor,Eye Of The Tiger (Lyrics)
Queen – Bohemian Rhapsody (Official Video Remastered),fJ9rUzIMcZQ,Unknown,Queen – Bohemian Rhapsody (Official Video Remastered)
Hideyoshi - Majinahanashi（Official Video）,9a3sPzbG68I,Hideyoshi,Majinahanashi（Official Video）
Lana Del Rey - Summertime Sadness (Official Music Video),TdrL3QxjyVw,Lana Del Rey,Summertime Sadness (Official Music Video)
Earned It - The Weeknd (Lyrics) 🎵,nHG3bdZ3p78,Earned It,The Weeknd (Lyrics) 🎵
"Pitbull, Afrojack - Maldito Alcohol",MTHqYmCRNDg,"Pitbull, Afrojack",Maldito Alcohol
ZAYN - Still Got Time (Official Video) ft. PARTYNEXTDOOR,cHOrHGpL4u0,ZAYN,Still Got Time (Official Video) ft. PARTYNEXTDOOR
Hai Rama Ye Kya Hua Live by Hariharan,8YdXb2SgUFY,Unknown,Hai Rama Ye Kya Hua Live by Hariharan
Analyse audio song with lyrics from The Prestige movie,kDsQIZi6_7Q,Unknown,Analyse audio song with lyrics from The Prestige movie
Freddie Dredd - Limbo (Lyrics),yl6rhI20YgU,Freddie Dredd,Limbo (Lyrics)
Sajjan Raj Vaidya - Dhairya [Official Release],6FEsFvZ-hqY,Sajjan Raj Vaidya,Dhairya [Official Release]
Mercedes Benz - Cobweb | Tuborg Open Sessions,E_ZX0ARiRms,Mercedes Benz,Cobweb | Tuborg Open Sessions
Bagaicha - Ktaharu,8swVD4mGsKE,Bagaicha,Ktaharu
Gerry Rafferty - Baker Street (Lyrics),ZPX3L44TdS4,Gerry Rafferty,Baker Street (Lyrics)
"Grailz Beni - It's Not So Bad (tiktok version) | "" It reminds me that it's not so bad """,Z98dLCElfys,Grailz Beni,"It's Not So Bad (tiktok version) | "" It reminds me that it's not so bad """
Brodha V - Aathma Raama [Lyric Video],SdxSQlk4Bws,Brodha V,Aathma Raama [Lyric Video]
Sam Smith - I'm Not The Only One (Lyrics),NijFpBWCxmc,Sam Smith,I'm Not The Only One (Lyrics)
Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends),D9G1VOjN_84,Imagine Dragons x J.I.D,Enemy (from the series Arcane League of Legends)
Imagine Dragons - Bones (Official Music Video),TO-_3tck2tg,Imagine Dragons,Bones (Official Music Video)
"Jasiah - Crisis (Lyrics) | and i'm swervin in the streets, ay get the f outta my way",KTjes82A6ik,Jasiah,"Crisis (Lyrics) | and i'm swervin in the streets, ay get the f outta my way"
Iraq Lobster (Family Guy) (Guitar Tabs),PtiGUzt-rTo,Unknown,Iraq Lobster (Family Guy) (Guitar Tabs)
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),foE1mO2yM04,Mike Posner,I Took A Pill In Ibiza (Seeb Remix) (Explicit)
The Weeknd - Call Out My Name (Official Video),M4ZoCHID9GI,The Weeknd,Call Out My Name (Official Video)
Passenger | Let Her Go (Official Video),RBumgq5yVrA,Unknown,Passenger | Let Her Go (Official Video)
Sathi - Sushant KC (Official Lyrics Video),6LdoXZoh7tA,Sathi,Sushant KC (Official Lyrics Video)
"John Denver - Take Me Home, Country Roads (Lyrics)",uu7j_xljCRY,John Denver,"Take Me Home, Country Roads (Lyrics)"
ROCKHEADS | RANGA |,U5syMIJ5JRA,Unknown,ROCKHEADS | RANGA |
Ed Sheeran - Eraser [Official Audio],OjGrcJ4lZCc,Ed Sheeran,Eraser [Official Audio]
Purna Rai - Manaka kura,dJ4fqBkc56A,Purna Rai,Manaka kura
Ariana Grande - I know we be so complicated (boyfriend) (Lyrics) ft. Social House,-rXv0dIhHEw,Ariana Grande,I know we be so complicated (boyfriend) (Lyrics) ft. Social House
Talk - Why Don't We [Official Music Video],Y15MOr9saxE,Talk,Why Don't We [Official Music Video]
Sambodhan (Audio/Lyrics) | 1974AD,wqlwwQiyZTU,Unknown,Sambodhan (Audio/Lyrics) | 1974AD
