Title,Views,Likes
dean lewis - waves,178535903,1393140
snow patrol - chasing cars,366800420,2233525
apocalypse - cigarettes after sex,245161874,2589148
nf - the search,280343682,5002447
avril lavigne - complicated,711387939,4665119
led zeppelin - over the hills and far away,13061479,83011
plain white t's - hey there delilah,117198596,1279530
the black crowes - she talks to angels,31366380,250042
eric clapton - layla,52136255,248566
creedence clearwater revival - have you ever seen the rain,459865085,3112891
extreme - more than words,765836775,3762642
green day - good riddance,100982876,668082
birseko chaina - swoopna suman,3681750,66182
dj bishow - k huncha bhanera ft. yabesh thapa,21316698,211871
renai circulation「恋愛サーキュレーション」歌ってみた【＊なみりん】,166400232,3235094
aurora - runaway,94726133,1714823
monty datta - sing to you,8054225,216481
giveon - heartbreak anniversary,259859309,3995707
oasis thapa - aparichit bhaawanaa,12132741,123234
hoobastank - the reason,1101081173,5691257
pink floyd - wish you were here,252247110,1390927
kamisama hajimemashita - hanae +,13768431,220916
black clover ending 10 full『new page』by intersection |,1344269,14893
black clover opening 10 full『vickeblanka - black catcher』,23013228,183029
x ambassadors - unsteady,84652962,695533
sting - shape of my heart,368300801,1969095
trevor daniel - i don't know,471198,5248
joji - slow dancing in the dark,413540154,5414746
zayn - better,46527925,1735618
zayn - outside,6124246,213361
zayn - vibez,42581972,1470695
flora cash - you're somebody else,230613924,2354491
avicii - the nights,939856861,10096256
nf - when i grow up,246411899,3713656
kaleo - way down we go,687930850,6405387
"agar tum saath ho full audio song | tamasha | ranbir kapoor, deepika padukone | t-series",366638693,2347419
raabta - arijit singh | agent vinod,40510149,460613
"main rahoon ya na rahoon full | emraan hashmi, esha gupta | amaal mallik, armaan malik",401496419,2928862
lekali - samjhana birsana - wonderfools,17093790,117100
rohit john chettri | bistarai bistarai | lyric,14323886,93427
sushant kc - gulabi,36801488,200542
sajjan raj vaidya - phutki jaaney jovan,18715722,248486
nyano ghar - dibesh pokharel,19162852,189092
sushant kc - maya ma,36952899,258763
"sajjan raj vaidya - hataarindai, bataasindai",39962982,255040
salil maharjan - chitta bujhaunu w nikesh y. acharya,5796375,60200
jp saxe - if the world was ending ft. julia michaels,197795632,2169584
"saturday nights - chill out mix - khalid, ali gatie, jeremy zucker...",72781633,595040
lord huron - the night we met,279915856,2908677
sajjan raj vaidya - chitthi bhitra,69996071,363354
audrey mika - excuses,60270,1778
rosie - never the 1,6721497,79244
tate mcrae - r u ok,9181248,74008
tate mcrae - stupid,26956485,240819
tate mcrae - friends don't look at friends that way,29700324,212303
tate mcrae & ali gatie - lie to me,53326979,406165
tate mcrae - you broke me first,316815302,2940932
grover washington jr - just the two of us,78108325,1190280
tove lo - talking body,198771675,1393422
