Title,Views,Likes
One Punch Man OST - Peaceful Days (Original),265126,4258
Neil Diamond - Sweet Caroline Lyrics,51080111,296886
Hozier - Cherry Wine,39555462,456328
Bimbaakash- Najeek [Lyrical Video],38914871,211427
Winter Aid - The Wisp Sings,22506178,297752
"benny blanco, Halsey & Khalid – Eastside (official video)",721483004,3160794
Blonde Redhead - For the Damaged Coda,50021295,1309201
Main Jahaan Rahoon (Full Audio Song) - Namastey London - Akshay Kumar - Rahat Fateh Ali Khan,183607896,1374780
Adele - Someone Like You (Official Music Video),2223880432,10793130
Harry Styles - Sign of the Times (Official Video),1277264316,8889195
Harry Styles - As It Was (Official Video),763139547,8208648
ZAYN - Tightrope (Lyrics),283116,3634
Guns N' Roses - Sweet Child O' Mine (Official Music Video),1689583129,8468259
Gnarls Barkley - Crazy (Official Video) [4K Remaster],321565833,2654282
Ｗｈａｔ　Ｗｏｕｌｄ　Ｉ　Ｄｏ　Ｉｆ　Ｙｏｕ　Ｗｅｒｅｎ＇ｔ　Ｈｅｒｅ？,9841385,377763
JVKE - this is what falling in love feels like (Lyrics),7726748,167397
Pecos & The Rooftops - This Damn Song (Official Video),72637542,336809
"Andy Grammer ""Fine By Me"" Official Video",5136987,37371
COIN - I Don't Wanna Dance (Audio),782581,10588
COIN - Talk Too Much (Video),11464531,184046
COIN - Boyfriend (Audio),896164,17268
Sunsetz - Cigarettes After Sex,40610354,441262
Cigarettes After Sex - Heavenly // lyrics,1998731,34287
Sweet - Cigarettes After Sex,53296089,507787
Affection - Cigarettes After Sex,89904991,592725
Too - I couldn't love (ft. Shiloh Dynasty),251319,6674
"Sawaar Loon Full Song (LYRICS) - Monali Thakur | Lootera | Amit Trivedi, Amitabh Bhattacharya",1851671,34945
Ruth B. - Dandelions (Lyrics),259201171,2193602
Coda - Fighting Gold Creditless FullHD,3313985,68051
Pharrell Williams - Happy (Video),1334646006,8811149
Led Zeppelin  Immigrant Song  Lyrics.,3034850,35908
Cat Stevens - Wild World (Lyrics),5816270,46993
Vance Joy - Georgia [Official Audio],10862315,59251
Jeremy Zucker - scared (Lyrics),8891354,130171
Jidenna - Classic Man ft. Roman GianArthur,80621049,709624
Eminem - Without Me (Official Music Video),1996195530,14293265
dArtagnan - Was wollen wir trinken,20867206,200168
Måneskin (Italy Eurovision 2021) “I Wanna Be Your Slave” & “Zitti E Buoni”  | Wiwi Jam at Home,59318610,1158892
Avril Lavigne - Bite Me (Official Video),33684885,878534
Eminem ft Rihanna - Love the way you lie  LYRICS,40781513,341882
Before You Exit - Silence (Official Audio),12157579,405008
Attack on Titan Season 4 - Ending Full『Shock』by Yuko Ando,22310986,288469
Attack on Titan Season 4 Part 2 - Ending Full『Ai Higuchi - Akuma no Ko』,3846859,80940
