Title,Views,Likes
Sambodhan (Audio/Lyrics) | 1974AD,8314814,50852
Fin Argus & Sabrina Carpenter - Fix Me Up (Lyrics) (From the Disney+ Original Movie 'Clouds'),3800796,44389
Fin Argus & Sabrina Carpenter - Clouds (Lyrics) (From the Disney+ Original Movie 'Clouds'),716354,9822
Naoki Urasawa's Monster Opening | Remastered in 1080p,738792,18966
David Sylvian -  For the Love of Life (Monster Ending Theme) LYRICS,2990491,63485
Sun Rai - San Francisco Street,96918005,572878
P. Tchaikovsky - Pas de Deux ('The Nutcracker'),35148697,428478
Тёмная ночь - Temnaya Noch - (Dark Night) - Piano Version,71147,2398
Eleni Karaindrou - By The Sea ( 1998 ),4020160,73262
Alice Merton - Why So Serious (Official Video),11124998,120757
Take your trench coat- Soviet WW2 Song,2048310,88302
Tchaikovsky - Valse Sentimentale,28241532,389167
Milky Chance - Stolen Dance (Official Video),969089814,5007733
Kashmir - Surfing The Warm Industry,8626043,211277
Stuck In the Sound - Let's Go [Official Video],151702059,2231339
Sadhai Sadhai Mantra | Official Music Video,16988882,126127
Sam Smith - I'm Not The Only One (Official Music Video),1695743578,6886438
YOASOBI - Racing Into The Night Lyrics (JPN_ROM_ENG),48827600,681619
Galileo Galilei - Aoi Shiori,33689089,506464
Alice Merton - No Roots,361663025,3185613
U2 - With Or Without You (Official Music Video),166121551,1059586
Money Heist - Soundtrack (My Life is Going On) - Cecilia Krull,20301614,252550
The Killers - Mr. Brightside (Official Music Video),572968566,2948280
Eric Carmen - All by Myself (Audio),25769478,312967
The Offspring - Pretty Fly (For A White Guy) (Official Music Video),87318159,689067
"Tujhse Naraz Nahi Zindagi (Lyrics) - | Lata Mangeshkar #RIP | R.D. Burman, Gulzar | Masoom 1983",7134562,76969
blink-182 - What's My Age Again? (Official Music Video),116550473,624256
Oasis - Wonderwall (Official Video),554571583,3281386
Neil Young - Heart of Gold (Lyrics),5277960,43692
Father and Son (lyrics) - Cat Stevens,18919065,102833
Sum 41 - Pieces (Official Music Video),77119609,502688
The 100 music 3x13 - Radioactive - Koda,6632024,87625
U2 - Bad,11563566,42485
Vance Joy  - We're Going Home [Official Video],14612839,134828
Soundgarden - Black Hole Sun,267169665,1723959
Fever - Peggy Lee,54858917,405304
All Too Well / Taylor Swift (Lyrics),25176937,147919
The Coasters   Sh Boom Life Could Be A Dream,12363806,353376
Sushant KC - Yaad Ft. Brijesh Shrestha,4647447,105819
Selena Gomez - Only You (Lyric Video),65728311,1026346
ZAYN - LIKE I WOULD,87687005,1443532
The Lumineers - Ophelia,243886311,1779332
Sasha Alex Sloan - Dancing With Your Ghost (Lyric Video),251512770,2813914
PALAYE ROYALE - Punching Bag (Official Music Video),5140446,99393
Finn - In Luv with U,2515679,83839
samiian - cry on cue pls,304656,10351
"Vansire - Lonely Zone (feat. Mellow Fellow, Ruru, & Paul Cherry)",287081,7040
Vansire - That I Miss You (Official Music Video),911354,27683
Vansire - Nice To See You (feat. Floor Cry),2344933,57551
Vansire - Metamodernity,657870,15803
Nachahe ko Hoina - The Edge Band I Jeewan Gurung,10658365,62954
Sushant KC - Behos,29686651,234220
Sushant KC - Risaune Bhaye,45429244,429534
Rain Jewels feat. Lilla My - Mess,122331,2079
Rebelution - Feeling Alright,53410509,172048
Fleetwood Mac - Dreams [with lyrics],203876568,1460553
Vance Joy - Riptide (Lyrics),189672728,1849634
"Calvin Harris, Sam Smith - Promises (Official Lyric Video)",309743802,1252430
Sean Hayes - Powerful Stuff (Run Wolves Run),1871203,9762
Sublime - What I Got (Official Music Video),79226722,408553
America-A Horse With No Name Lyrics,3561203,41240
One Punch Man OST - Peaceful Days (Original),265223,4259
Neil Diamond - Sweet Caroline Lyrics,51081611,296882
Hozier - Cherry Wine,39562341,456394
Bimbaakash- Najeek [Lyrical Video],38927828,211516
Winter Aid - The Wisp Sings,22506636,297747
"benny blanco, Halsey & Khalid – Eastside (official video)",721706639,3161543
Blonde Redhead - For the Damaged Coda,50023530,1309215
Main Jahaan Rahoon (Full Audio Song) - Namastey London - Akshay Kumar - Rahat Fateh Ali Khan,183765191,1375721
Adele - Someone Like You (Official Music Video),2224499509,10796638
Harry Styles - Sign of the Times (Official Video),1277837592,8890841
Harry Styles - As It Was (Official Video),763557309,8210590
ZAYN - Tightrope (Lyrics),283181,3633
Guns N' Roses - Sweet Child O' Mine (Official Music Video),1690024895,8470511
Gnarls Barkley - Crazy (Official Video) [4K Remaster],321870431,2655527
Ｗｈａｔ　Ｗｏｕｌｄ　Ｉ　Ｄｏ　Ｉｆ　Ｙｏｕ　Ｗｅｒｅｎ＇ｔ　Ｈｅｒｅ？,9846802,377865
JVKE - this is what falling in love feels like (Lyrics),7727276,167387
Pecos & The Rooftops - This Damn Song (Official Video),72686787,336994
"Andy Grammer ""Fine By Me"" Official Video",5137427,37365
COIN - I Don't Wanna Dance (Audio),782619,10589
COIN - Talk Too Much (Video),11466813,184066
COIN - Boyfriend (Audio),896186,17267
Sunsetz - Cigarettes After Sex,40660162,441561
Cigarettes After Sex - Heavenly // lyrics,2002584,34313
Sweet - Cigarettes After Sex,53354107,508069
Affection - Cigarettes After Sex,89922699,592776
Too - I couldn't love (ft. Shiloh Dynasty),251340,6676
"Sawaar Loon Full Song (LYRICS) - Monali Thakur | Lootera | Amit Trivedi, Amitabh Bhattacharya",1853594,34966
Ruth B. - Dandelions (Lyrics),259312325,2194366
Coda - Fighting Gold Creditless FullHD,3317490,68117
Pharrell Williams - Happy (Video),1335166708,8814479
Led Zeppelin  Immigrant Song  Lyrics.,3035268,35912
Cat Stevens - Wild World (Lyrics),5817208,47000
Vance Joy - Georgia [Official Audio],10863625,59254
Jeremy Zucker - scared (Lyrics),8891600,130169
Jidenna - Classic Man ft. Roman GianArthur,80631696,709731
Eminem - Without Me (Official Music Video),1997125358,14297680
dArtagnan - Was wollen wir trinken,20881502,200261
Måneskin (Italy Eurovision 2021) “I Wanna Be Your Slave” & “Zitti E Buoni”  | Wiwi Jam at Home,59336240,1158930
Avril Lavigne - Bite Me (Official Video),33695359,878605
Eminem ft Rihanna - Love the way you lie  LYRICS,40782666,341878
Before You Exit - Silence (Official Audio),12166507,405389
Attack on Titan Season 4 - Ending Full『Shock』by Yuko Ando,22311749,288456
